Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Georgia,Hospice facility,611,7092,676,297,0,990,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Georgia,Nursing home/long term care facility,979,11013,532,294,,1218,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Georgia,Other,217,6019,82,50,,250,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Georgia,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,Total - All Places of Death,365,12070,831,177,26,1045,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,"Healthcare setting, inpatient",263,3104,555,156,18,680,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,"Healthcare setting, outpatient or emergency room",15,899,44,,,55,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,"Healthcare setting, dead on arrival",0,491,10,0,,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,Decedent's home,33,4498,99,,,125,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,Hospice facility,0,688,28,0,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,Nursing home/long term care facility,42,1103,62,,,101,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,Other,12,1287,33,,,44,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Hawaii,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,Total - All Places of Death,696,12172,1020,426,,1290,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,"Healthcare setting, inpatient",532,3488,747,381,,898,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,"Healthcare setting, outpatient or emergency room",47,912,41,19,0,69,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,"Healthcare setting, dead on arrival",15,494,11,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,Decedent's home,78,4484,105,17,0,166,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,Hospice facility,,516,31,,0,33,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,Nursing home/long term care facility,,926,48,0,0,52,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,Other,15,1352,37,,0,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Hawaii,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,Total - All Places of Death,1541,16468,1233,644,35,2161,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,"Healthcare setting, inpatient",789,3712,776,452,17,1128,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,"Healthcare setting, outpatient or emergency room",32,585,27,,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,"Healthcare setting, dead on arrival",0,19,0,0,0,0,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,Decedent's home,202,6780,160,64,10,306,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,Hospice facility,32,653,43,12,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,Nursing home/long term care facility,469,3809,207,98,,581,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,Other,17,910,20,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Idaho,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,Total - All Places of Death,2662,17464,2066,1557,,3172,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,"Healthcare setting, inpatient",1732,4777,1519,1220,0,2031,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,"Healthcare setting, outpatient or emergency room",57,563,38,19,0,76,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,"Healthcare setting, dead on arrival",0,14,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,Decedent's home,418,7191,254,157,,516,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,Hospice facility,96,673,85,57,0,124,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,Nursing home/long term care facility,330,3322,156,98,0,388,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,Other,29,924,14,,0,37,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Idaho,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,Total - All Places of Death,16721,128733,14414,8017,223,23336,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,"Healthcare setting, inpatient",10717,39848,10748,6520,144,15084,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,"Healthcare setting, outpatient or emergency room",598,9073,442,180,12,872,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,"Healthcare setting, dead on arrival",17,309,,,0,17,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,Decedent's home,981,41911,894,221,23,1677,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,Hospice facility,354,4933,423,181,10,606,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,Nursing home/long term care facility,3598,23970,1657,804,30,4481,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,Other,456,8689,245,106,,599,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Illinois,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,Total - All Places of Death,10489,114549,11119,6261,10,15354,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,"Healthcare setting, inpatient",7439,36045,8753,5321,,10875,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,"Healthcare setting, outpatient or emergency room",406,8002,318,147,0,577,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,"Healthcare setting, dead on arrival",,279,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,Decedent's home,1025,39521,826,316,,1537,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,Hospice facility,213,4524,292,114,0,391,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,Nursing home/long term care facility,1173,18091,775,308,,1641,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,Other,227,8087,153,55,0,325,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Illinois,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,Total - All Places of Death,9776,79145,8903,4569,178,14281,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,"Healthcare setting, inpatient",5258,23698,6265,3551,125,8091,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,"Healthcare setting, outpatient or emergency room",170,3194,156,61,,270,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,"Healthcare setting, dead on arrival",,72,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,Decedent's home,511,25800,684,158,16,1053,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,Hospice facility,141,2992,289,97,,341,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,Nursing home/long term care facility,3614,19496,1427,680,22,4382,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,Other,81,3872,81,22,,142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Indiana,Place of death unknown,0,21,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,Total - All Places of Death,8527,72538,8247,5019,12,11765,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,"Healthcare setting, inpatient",5781,23616,6363,4201,,7950,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,"Healthcare setting, outpatient or emergency room",190,3144,151,63,,279,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,"Healthcare setting, dead on arrival",,58,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,Decedent's home,888,24754,672,305,,1257,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,Hospice facility,119,2475,202,81,0,240,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,Nursing home/long term care facility,1379,14327,736,301,0,1814,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,Other,167,4164,122,67,0,222,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Indiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,Total - All Places of Death,4769,35658,3382,1612,96,6633,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,"Healthcare setting, inpatient",2181,9208,2051,1131,46,3145,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,"Healthcare setting, outpatient or emergency room",95,1657,66,19,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,"Healthcare setting, dead on arrival",,53,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,Decedent's home,281,9727,259,58,10,492,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,Hospice facility,95,2925,237,23,12,321,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,Nursing home/long term care facility,2089,11090,748,374,24,2487,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,Other,25,998,19,,0,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Iowa,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,Total - All Places of Death,3100,31422,2715,1337,14,4490,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,"Healthcare setting, inpatient",1879,8724,1829,1030,,2685,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,"Healthcare setting, outpatient or emergency room",94,1510,69,26,0,137,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,"Healthcare setting, dead on arrival",,36,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,Decedent's home,289,9231,222,63,,451,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,Hospice facility,107,2588,175,45,,238,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,Nursing home/long term care facility,684,7990,386,162,,909,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,Other,45,1342,31,,0,67,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Iowa,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,Total - All Places of Death,3508,31120,2937,1497,122,5067,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,"Healthcare setting, inpatient",1936,8608,1985,1123,71,2866,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,"Healthcare setting, outpatient or emergency room",73,1243,68,24,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,"Healthcare setting, dead on arrival",,30,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,Decedent's home,237,9748,232,59,15,425,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,Hospice facility,51,1544,127,21,12,169,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,Nursing home/long term care facility,1173,8335,487,261,22,1421,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,Other,37,1612,38,,0,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kansas,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,Total - All Places of Death,3481,29453,2932,1704,12,4721,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,"Healthcare setting, inpatient",2308,8928,2179,1401,,3095,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,"Healthcare setting, outpatient or emergency room",103,1272,75,38,,141,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,"Healthcare setting, dead on arrival",0,28,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,Decedent's home,348,9246,219,97,,472,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,Hospice facility,65,1370,105,28,0,142,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,Nursing home/long term care facility,604,7011,326,132,0,798,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,Other,53,1598,28,,0,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kansas,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,Total - All Places of Death,4619,55709,5965,2200,145,8524,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,"Healthcare setting, inpatient",2969,18145,4560,1852,100,5773,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,"Healthcare setting, outpatient or emergency room",179,4294,165,43,,308,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,"Healthcare setting, dead on arrival",,78,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,Decedent's home,214,18309,445,74,20,605,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,Hospice facility,157,4064,241,31,14,381,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,Nursing home/long term care facility,1065,8183,510,187,,1390,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,Other,32,2631,42,11,0,63,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Kentucky,Place of death unknown,,,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,Total - All Places of Death,7855,55038,7725,4584,17,11009,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,"Healthcare setting, inpatient",5666,20017,6356,4020,11,8009,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,"Healthcare setting, outpatient or emergency room",285,4052,189,99,0,375,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,"Healthcare setting, dead on arrival",0,76,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,Decedent's home,842,17800,520,224,,1142,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,Hospice facility,255,3980,261,85,,432,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,Nursing home/long term care facility,730,6508,356,135,,952,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,Other,77,2601,43,21,0,99,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Kentucky,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,Total - All Places of Death,7066,56829,5748,3550,96,9353,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,"Healthcare setting, inpatient",5087,17789,4251,2798,70,6605,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,"Healthcare setting, outpatient or emergency room",325,3778,278,148,,460,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,"Healthcare setting, dead on arrival",,47,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,Decedent's home,415,20533,380,121,15,688,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,Hospice facility,244,2661,203,126,,324,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,Nursing home/long term care facility,918,8409,570,336,,1153,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,Other,75,3612,65,20,,121,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,Total - All Places of Death,6641,52219,5325,3647,13,8327,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,"Healthcare setting, inpatient",5152,16945,4261,3125,10,6293,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,"Healthcare setting, outpatient or emergency room",278,3383,214,114,0,378,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,"Healthcare setting, dead on arrival",0,30,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,Decedent's home,685,19249,400,200,,887,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,Hospice facility,112,2631,123,55,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,Nursing home/long term care facility,340,6589,280,130,0,490,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,Other,74,3392,46,23,0,97,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Louisiana,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,Total - All Places of Death,465,15620,1023,108,37,1417,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,"Healthcare setting, inpatient",208,3447,584,76,26,742,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,"Healthcare setting, outpatient or emergency room",,458,29,,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,"Healthcare setting, dead on arrival",,,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,Decedent's home,26,5760,146,,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,Hospice facility,,1641,55,0,,63,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,Nursing home/long term care facility,211,3378,195,21,,388,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,Other,,923,13,0,,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maine,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,Total - All Places of Death,1281,16426,1196,377,,2102,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,"Healthcare setting, inpatient",737,3979,804,311,0,1230,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,"Healthcare setting, outpatient or emergency room",34,545,21,,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,"Healthcare setting, dead on arrival",,,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,Decedent's home,116,6226,123,17,0,222,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,Hospice facility,30,1585,73,,0,94,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,Nursing home/long term care facility,351,3167,162,36,0,477,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,Other,11,907,13,,,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maine,Place of death unknown,,10,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,Total - All Places of Death,6731,59644,5857,2583,151,10138,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,"Healthcare setting, inpatient",3756,15353,3770,1893,109,5728,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,"Healthcare setting, outpatient or emergency room",272,4025,187,44,,422,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,"Healthcare setting, dead on arrival",,73,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,Decedent's home,340,19115,360,70,,638,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,Hospice facility,512,5931,725,242,12,1006,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,Nursing home/long term care facility,1601,9166,644,288,14,1968,
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,Other,246,5981,166,45,,368,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/31/2020,By Year,2020,,Maryland,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maryland,Total - All Places of Death,5297,51403,5007,2395,,7914,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maryland,"Healthcare setting, inpatient",3449,14175,3413,1868,,4995,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2021,12/25/2021,By Year,2021,,Maryland,"Healthcare setting, outpatient or emergency room",154,3467,136,31,0,259,
